date,commodity,sales,checking the avg
1/1/2024,coffee,168,168
1/2/2024,coffee,172,171.5
1/3/2024,coffee,171,172
1/4/2024,coffee,177,170.6
1/5/2024,coffee,165,170.5
1/6/2024,coffee,170,171
1/7/2024,coffee,174,171
1/8/2024,coffee,169,171
1/9/2024,coffee,165,170
1/10/2024,coffee,163,169
1/11/2024,coffee,167,168
1/12/2024,coffee,171,168
1/13/2024,coffee,175,169
1/14/2024,coffee,166,168
1/15/2024,coffee,178,169
1/16/2024,coffee,162,169
1/17/2024,coffee,164,169
1/18/2024,coffee,160,168
1/19/2024,coffee,165,167
1/20/2024,coffee,172,167
1/21/2024,coffee,179,169
1/22/2024,coffee,174,168
1/23/2024,coffee,161,168
1/24/2024,coffee,159,167
1/25/2024,coffee,165,168
1/26/2024,coffee,168,168
1/27/2024,coffee,170,168
1/28/2024,coffee,173,167
1/29/2024,coffee,166,166
1/30/2024,coffee,160,166
1/31/2024,coffee,162,166
2/1/2024,coffee,158,165
2/2/2024,coffee,162,164
2/3/2024,coffee,165,164
2/4/2024,coffee,168,163
2/5/2024,coffee,155,161
2/6/2024,coffee,152,160
2/7/2024,coffee,149,158
2/8/2024,coffee,154,158
2/9/2024,coffee,157,157
2/10/2024,coffee,160,156
2/11/2024,coffee,163,156
2/12/2024,coffee,151,155
2/13/2024,coffee,148,155
2/14/2024,coffee,150,155
2/15/2024,coffee,145,153
2/16/2024,coffee,149,152
2/17/2024,coffee,155,152
2/18/2024,coffee,158,151
2/19/2024,coffee,147,150
2/20/2024,coffee,144,150
2/21/2024,coffee,142,149
2/22/2024,coffee,146,149
2/23/2024,coffee,150,149
2/24/2024,coffee,155,149
2/25/2024,coffee,159,149
2/26/2024,coffee,148,149
2/27/2024,coffee,145,149
2/28/2024,coffee,143,149
2/29/2024,coffee,147,150
3/1/2024,coffee,138,148
3/2/2024,coffee,142,146
3/3/2024,coffee,145,144
3/4/2024,coffee,135,142
3/5/2024,coffee,132,140
3/6/2024,coffee,129,138
3/7/2024,coffee,134,136
3/8/2024,coffee,137,136
3/9/2024,coffee,140,136
3/10/2024,coffee,143,136
3/11/2024,coffee,131,135
3/12/2024,coffee,128,135
3/13/2024,coffee,130,135
3/14/2024,coffee,125,133
3/15/2024,coffee,129,132
3/16/2024,coffee,135,132
3/17/2024,coffee,138,131
3/18/2024,coffee,127,130
3/19/2024,coffee,124,130
3/20/2024,coffee,122,129
3/21/2024,coffee,126,129
3/22/2024,coffee,130,129
3/23/2024,coffee,135,129
3/24/2024,coffee,139,129
3/25/2024,coffee,128,129
3/26/2024,coffee,125,129
3/27/2024,coffee,123,129
3/28/2024,coffee,127,130
3/29/2024,coffee,132,130
3/30/2024,coffee,138,130
3/31/2024,coffee,142,131
4/1/2024,coffee,120,130
4/2/2024,coffee,118,129
4/3/2024,coffee,115,127
4/4/2024,coffee,119,126
4/5/2024,coffee,122,125
4/6/2024,coffee,128,123
4/7/2024,coffee,132,122
4/8/2024,coffee,121,122
4/9/2024,coffee,118,122
4/10/2024,coffee,116,122
4/11/2024,coffee,120,122
4/12/2024,coffee,124,123
4/13/2024,coffee,129,123
4/14/2024,coffee,133,123
4/15/2024,coffee,122,123
4/16/2024,coffee,119,123
4/17/2024,coffee,117,123
4/18/2024,coffee,121,124
4/19/2024,coffee,125,124
4/20/2024,coffee,130,124
4/21/2024,coffee,134,124
4/22/2024,coffee,123,124
4/23/2024,coffee,120,124
4/24/2024,coffee,118,124
4/25/2024,coffee,122,125
4/26/2024,coffee,126,125
4/27/2024,coffee,131,125
4/28/2024,coffee,135,125
4/29/2024,coffee,124,125
4/30/2024,coffee,121,125
5/1/2024,coffee,110,124
5/2/2024,coffee,114,123
5/3/2024,coffee,117,122
5/4/2024,coffee,123,121
5/5/2024,coffee,127,119
5/6/2024,coffee,116,118
5/7/2024,coffee,113,117
5/8/2024,coffee,111,117
5/9/2024,coffee,115,117
5/10/2024,coffee,119,118
5/11/2024,coffee,124,118
5/12/2024,coffee,128,118
5/13/2024,coffee,117,118
5/14/2024,coffee,114,118
5/15/2024,coffee,112,118
5/16/2024,coffee,116,119
5/17/2024,coffee,120,119
5/18/2024,coffee,125,119
5/19/2024,coffee,129,119
5/20/2024,coffee,118,119
5/21/2024,coffee,115,119
5/22/2024,coffee,113,119
5/23/2024,coffee,117,120
5/24/2024,coffee,121,120
5/25/2024,coffee,126,120
5/26/2024,coffee,130,120
5/27/2024,coffee,119,120
5/28/2024,coffee,116,120
5/29/2024,coffee,114,120
5/30/2024,coffee,118,121
5/31/2024,coffee,122,121
6/1/2024,coffee,105,118
6/2/2024,coffee,109,115
6/3/2024,coffee,98,112
6/4/2024,coffee,95,109
6/5/2024,coffee,93,106
6/6/2024,coffee,97,103
6/7/2024,coffee,101,100
6/8/2024,coffee,106,100
6/9/2024,coffee,110,100
6/10/2024,coffee,99,100
6/11/2024,coffee,96,100
6/12/2024,coffee,94,100
6/13/2024,coffee,98,101
6/14/2024,coffee,102,101
6/15/2024,coffee,107,101
6/16/2024,coffee,111,101
6/17/2024,coffee,100,101
6/18/2024,coffee,97,101
6/19/2024,coffee,95,101
6/20/2024,coffee,99,102
6/21/2024,coffee,103,102
6/22/2024,coffee,108,102
6/23/2024,coffee,112,102
6/24/2024,coffee,101,102
6/25/2024,coffee,98,102
6/26/2024,coffee,96,102
6/27/2024,coffee,100,103
6/28/2024,coffee,104,103
6/29/2024,coffee,109,103
1/1/2024,tea,52,94
1/2/2024,tea,43,86
1/3/2024,tea,40,78
1/4/2024,tea,38,69
1/5/2024,tea,42,61
1/6/2024,tea,55,54
1/7/2024,tea,58,47
1/8/2024,tea,44,46
1/9/2024,tea,39,45
1/10/2024,tea,41,45
1/11/2024,tea,40,46
1/12/2024,tea,37,45
1/13/2024,tea,54,45
1/14/2024,tea,56,44
1/15/2024,tea,43,44
1/16/2024,tea,38,44
1/17/2024,tea,42,44
1/18/2024,tea,40,44
1/19/2024,tea,41,45
1/20/2024,tea,55,45
1/21/2024,tea,59,45
1/22/2024,tea,44,46
1/23/2024,tea,42,46
1/24/2024,tea,38,46
1/25/2024,tea,40,46
1/26/2024,tea,43,46
1/27/2024,tea,54,46
1/28/2024,tea,57,45
1/29/2024,tea,41,45
1/30/2024,tea,39,45
1/31/2024,tea,40,45
2/1/2024,tea,41,45
2/2/2024,tea,42,45
2/3/2024,tea,55,45
2/4/2024,tea,58,45
2/5/2024,tea,40,45
2/6/2024,tea,38,45
2/7/2024,tea,41,45
2/8/2024,tea,42,45
2/9/2024,tea,40,45
2/10/2024,tea,54,45
2/11/2024,tea,56,44
2/12/2024,tea,39,44
2/13/2024,tea,37,44
2/14/2024,tea,40,44
2/15/2024,tea,41,44
2/16/2024,tea,39,44
2/17/2024,tea,52,43
2/18/2024,tea,55,43
2/19/2024,tea,42,44
2/20/2024,tea,38,44
2/21/2024,tea,39,44
2/22/2024,tea,41,44
2/23/2024,tea,43,44
2/24/2024,tea,53,44
2/25/2024,tea,57,45
2/26/2024,tea,42,45
2/27/2024,tea,39,45
2/28/2024,tea,41,45
2/29/2024,tea,40,45
3/1/2024,tea,41,45
3/2/2024,tea,54,45
3/3/2024,tea,58,45
3/4/2024,tea,40,45
3/5/2024,tea,38,45
3/6/2024,tea,41,45
3/7/2024,tea,42,45
3/8/2024,tea,40,45
3/9/2024,tea,54,45
3/10/2024,tea,56,44
3/11/2024,tea,39,44
3/12/2024,tea,37,44
3/13/2024,tea,40,44
3/14/2024,tea,41,44
3/15/2024,tea,39,44
3/16/2024,tea,52,43
3/17/2024,tea,55,43
3/18/2024,tea,42,44
3/19/2024,tea,38,44
3/20/2024,tea,39,44
3/21/2024,tea,41,44
3/22/2024,tea,43,44
3/23/2024,tea,53,44
3/24/2024,tea,57,45
3/25/2024,tea,42,45
3/26/2024,tea,39,45
3/27/2024,tea,41,45
3/28/2024,tea,40,45
3/29/2024,tea,44,45
3/30/2024,tea,58,46
3/31/2024,tea,61,46
4/1/2024,tea,42,46
4/2/2024,tea,39,46
4/3/2024,tea,41,46
4/4/2024,tea,40,46
4/5/2024,tea,43,46
4/6/2024,tea,55,46
4/7/2024,tea,58,45
4/8/2024,tea,41,45
4/9/2024,tea,38,45
4/10/2024,tea,40,45
4/11/2024,tea,42,45
4/12/2024,tea,44,45
4/13/2024,tea,56,46
4/14/2024,tea,59,46
4/15/2024,tea,42,46
4/16/2024,tea,39,46
4/17/2024,tea,41,46
4/18/2024,tea,40,46
4/19/2024,tea,43,46
4/20/2024,tea,55,46
4/21/2024,tea,58,45
4/22/2024,tea,41,45
4/23/2024,tea,38,45
4/24/2024,tea,40,45
4/25/2024,tea,42,45
4/26/2024,tea,44,45
4/27/2024,tea,56,46
4/28/2024,tea,59,46
4/29/2024,tea,42,46
4/30/2024,tea,39,46
5/1/2024,tea,41,46
5/2/2024,tea,40,46
5/3/2024,tea,43,46
5/4/2024,tea,55,46
5/5/2024,tea,58,45
5/6/2024,tea,41,45
5/7/2024,tea,38,45
5/8/2024,tea,40,45
5/9/2024,tea,42,45
5/10/2024,tea,44,45
5/11/2024,tea,56,46
5/12/2024,tea,59,46
5/13/2024,tea,42,46
5/14/2024,tea,39,46
5/15/2024,tea,41,46
5/16/2024,tea,40,46
5/17/2024,tea,43,46
5/18/2024,tea,55,46
5/19/2024,tea,58,45
5/20/2024,tea,41,45
5/21/2024,tea,38,45
5/22/2024,tea,40,45
5/23/2024,tea,42,45
5/24/2024,tea,44,45
5/25/2024,tea,56,46
5/26/2024,tea,59,46
5/27/2024,tea,42,46
5/28/2024,tea,39,46
5/29/2024,tea,41,46
5/30/2024,tea,40,46
5/31/2024,tea,43,46
6/1/2024,tea,55,46
6/2/2024,tea,58,45
6/3/2024,tea,41,45
6/4/2024,tea,38,45
6/5/2024,tea,40,45
6/6/2024,tea,42,45
6/7/2024,tea,44,45
6/8/2024,tea,56,46
6/9/2024,tea,59,46
6/10/2024,tea,42,46
6/11/2024,tea,39,46
6/12/2024,tea,41,46
6/13/2024,tea,40,46
6/14/2024,tea,43,46
6/15/2024,tea,55,46
6/16/2024,tea,58,45
6/17/2024,tea,41,45
6/18/2024,tea,38,45
6/19/2024,tea,40,45
6/20/2024,tea,42,45
6/21/2024,tea,44,45
6/22/2024,tea,56,46
6/23/2024,tea,59,46
6/24/2024,tea,42,46
6/25/2024,tea,39,46
6/26/2024,tea,41,46
6/27/2024,tea,40,46
6/28/2024,tea,43,46
6/29/2024,tea,55,46
